22:50:18.785100 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 1616714473:1616715841, ack 1811520974, win 2048, options [nop,nop,TS val 1330161552 ecr 1488063449], length 1368
22:50:18.785104 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 1368:2736, ack 1, win 2048, options [nop,nop,TS val 1330161552 ecr 1488063449], length 1368
22:50:18.785105 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 2736:4104, ack 1, win 2048, options [nop,nop,TS val 1330161552 ecr 1488063449], length 1368
22:50:18.785107 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 4104:5472, ack 1, win 2048, options [nop,nop,TS val 1330161552 ecr 1488063449], length 1368
22:50:18.785108 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 5472:6840, ack 1, win 2048, options [nop,nop,TS val 1330161552 ecr 1488063449], length 1368
22:50:18.785109 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 6840:8208, ack 1, win 2048, options [nop,nop,TS val 1330161552 ecr 1488063449], length 1368
22:50:18.785110 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [P.], seq 8208:8229, ack 1, win 2048, options [nop,nop,TS val 1330161552 ecr 1488063449], length 21
22:50:18.785304 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 8229:9597, ack 1, win 2048, options [nop,nop,TS val 1330161552 ecr 1488063449], length 1368
22:50:18.785306 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 9597:10965, ack 1, win 2048, options [nop,nop,TS val 1330161552 ecr 1488063449], length 1368
22:50:18.785307 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 10965:12333, ack 1, win 2048, options [nop,nop,TS val 1330161552 ecr 1488063449], length 1368
22:50:18.785308 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 12333:13701, ack 1, win 2048, options [nop,nop,TS val 1330161552 ecr 1488063449], length 1368
22:50:18.785309 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 13701:15069, ack 1, win 2048, options [nop,nop,TS val 1330161552 ecr 1488063449], length 1368
22:50:18.785310 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 15069:16437, ack 1, win 2048, options [nop,nop,TS val 1330161552 ecr 1488063449], length 1368
22:50:18.785311 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [P.], seq 16437:16458, ack 1, win 2048, options [nop,nop,TS val 1330161552 ecr 1488063449], length 21
22:50:18.814885 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 16458:17826, ack 1, win 2048, options [nop,nop,TS val 1330161580 ecr 1488063469], length 1368
22:50:18.814890 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 17826:19194, ack 1, win 2048, options [nop,nop,TS val 1330161580 ecr 1488063469], length 1368
22:50:18.814891 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 19194:20562, ack 1, win 2048, options [nop,nop,TS val 1330161580 ecr 1488063469], length 1368
22:50:18.814892 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 20562:21930, ack 1, win 2048, options [nop,nop,TS val 1330161580 ecr 1488063469], length 1368
22:50:18.814893 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 21930:23298, ack 1, win 2048, options [nop,nop,TS val 1330161580 ecr 1488063469], length 1368
22:50:18.814895 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 23298:24666, ack 1, win 2048, options [nop,nop,TS val 1330161580 ecr 1488063469], length 1368
22:50:18.814896 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [P.], seq 24666:24687, ack 1, win 2048, options [nop,nop,TS val 1330161580 ecr 1488063469], length 21
22:50:18.840599 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 24687:26055, ack 1, win 2048, options [nop,nop,TS val 1330161604 ecr 1488063497], length 1368
22:50:18.840604 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 26055:27423, ack 1, win 2048, options [nop,nop,TS val 1330161604 ecr 1488063497], length 1368
22:50:18.840606 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 27423:28791, ack 1, win 2048, options [nop,nop,TS val 1330161604 ecr 1488063497], length 1368
22:50:18.840607 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 28791:30159, ack 1, win 2048, options [nop,nop,TS val 1330161604 ecr 1488063497], length 1368
22:50:18.840609 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 30159:31527, ack 1, win 2048, options [nop,nop,TS val 1330161604 ecr 1488063497], length 1368
22:50:18.840610 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 31527:32895, ack 1, win 2048, options [nop,nop,TS val 1330161604 ecr 1488063497], length 1368
22:50:18.840611 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [P.], seq 32895:32916, ack 1, win 2048, options [nop,nop,TS val 1330161604 ecr 1488063497], length 21
22:50:18.855817 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 32916:34284, ack 1, win 2048, options [nop,nop,TS val 1330161618 ecr 1488063523], length 1368
22:50:18.855821 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 34284:35652, ack 1, win 2048, options [nop,nop,TS val 1330161618 ecr 1488063523], length 1368
